Variable,Lead_Time,Error_Type,Min,Max,Mean,Median,IQR,RMSE
Temperature_C,16,Absolute,0.00003050000000004438,13.021026999999997,1.3355026348888093,1.0359489999999987,1.3473809999999986,1.79766841125993
Temperature_C,17,Absolute,0.00006099999999875649,15.081634000000005,1.3309907642224534,1.0410155000000003,1.3631904000000006,1.7727457915564777
Temperature_C,18,Absolute,0.0,12.705383,1.2713532317320362,1.0073859999999986,1.319000400000001,1.6692591863455246
Temperature_C,19,Absolute,0.0,11.629884,1.2150558713655635,0.9660644999999999,1.2635195999999995,1.585013038709763
Temperature_C,20,Absolute,0.0,10.952789,1.1916914112789327,0.9447634999999996,1.240814499999999,1.5534255901144873
Temperature_C,21,Absolute,0.0,9.464661,1.1755579588404812,0.9333500000000008,1.238739,1.5280419065519968
Temperature_C,22,Absolute,0.0,11.2265012,1.1696017765040538,0.9299926999999997,1.2398992999999994,1.5190044616246132
Temperature_C,23,Absolute,0.0,10.4882202,1.1656830230992303,0.9246820000000007,1.2316284499999999,1.5175673871902227
Temperature_C,24,Absolute,0.0,10.056090999999999,1.1689949565016844,0.9273377999999994,1.2295836,1.5227839626059334
Temperature_C,25,Absolute,0.0,9.772217000000001,1.1650806350323228,0.9187317,1.2157300000000006,1.5231327588083359
Temperature_C,26,Absolute,0.0,11.6599123,1.1728491174058173,0.919982000000001,1.2217710000000004,1.535217352080203
Temperature_C,27,Absolute,0.0,11.436035,1.189338455542778,0.9338989999999994,1.2435611,1.5601821605628121
Temperature_C,28,Absolute,0.0,13.7541054,1.2341562263220511,0.9729003999999994,1.2794793000000002,1.6164185474339638
Temperature_C,29,Absolute,0.0,15.41278093,1.2193328857297734,0.9477840000000004,1.288513,1.6153289832073494
Temperature_C,30,Absolute,0.0,14.92071513,1.2102990026808365,0.9251400000000025,1.2855220000000003,1.6162034777378755
Temperature_C,31,Absolute,0.0,14.28546115,1.204347830140013,0.9306650000000012,1.2494814999999986,1.6069623079023858
Temperature_C,32,Absolute,0.0,13.6951294,1.2383007594562645,0.9715575814999999,1.2776485999999991,1.6440575567777835
Temperature_C,33,Absolute,0.0,11.952300000000001,1.3264694993359307,1.0535278999999997,1.3623046999999993,1.7557940344464797
Temperature_C,34,Absolute,0.0,15.233764500000001,1.4210401663808117,1.135406999999999,1.4563299999999995,1.8739782403092164
Temperature_C,35,Absolute,0.0,14.213836,1.4841080533430908,1.1857299999999995,1.5394599999999965,1.9529517839236856
Temperature_C,36,Absolute,0.0,14.474518,1.5547531299139352,1.2390137,1.610046999999998,2.042191401681527
Temperature_C,37,Absolute,0.0,16.099121,1.6050122137470872,1.274719000000001,1.6592100000000016,2.1160024873429957
